,gene,disease,chemical,species,cell_line,umls
genbioel,,0.0,,0.82,,
arboel_ar,,0.0,,,,
biosyn_ar,,0.0,,,,
genbioel_ar,,0.0,,,,
biosyn,,0.0,,0.74,,
arboel,,0.0,,0.61,,
